"store_id","product_sku","quantity_in_stock","reorder_threshold"
1,"00-119-8780",380,35
1,"00-215-7434",325,20
1,"00-357-2313",219,20
1,"00-366-9496",319,50
1,"00-405-7428",390,50
1,"00-440-9568",291,50
1,"00-534-9775",422,25
1,"00-641-8691",305,25
1,"00-842-9790",368,20
1,"00-963-2193",385,20
1,"01-018-6418",354,20
1,"01-026-2772",413,50
1,"01-050-2246",250,50
1,"01-144-5960",373,35
1,"01-703-8441",346,40
1,"01-820-5784",297,20
1,"01-839-6534",265,40
1,"01-903-5373",355,50
1,"02-034-6209",327,20
1,"02-085-7218",292,20
1,"02-170-5225",323,40
1,"02-275-6061",283,50
1,"02-484-0206",388,40
1,"02-508-3777",306,20
1,"02-559-8196",262,50
1,"02-655-3240",365,40
1,"02-888-9412",390,50
1,"02-895-7781",363,40
1,"02-920-4829",361,20
1,"02-974-8526",354,50
1,"03-043-9933",377,50
1,"03-061-1344",357,35
1,"03-149-9760",251,20
1,"03-276-3931",402,50
1,"03-441-4252",319,20
1,"03-597-9488",400,20
1,"03-833-3577",301,50
1,"03-919-9890",367,35
1,"03-940-0630",398,20
1,"04-001-1793",324,25
1,"04-038-1547",323,20
1,"04-104-6993",393,20
1,"04-240-2226",431,20
1,"04-277-5245",397,40
1,"04-293-6969",287,50
1,"04-453-5485",319,50
1,"04-542-3863",366,40
1,"04-637-8815",418,50
1,"04-758-0410",224,40
1,"05-184-4175",378,25
1,"05-193-8096",379,50
1,"05-334-2923",291,40
1,"05-425-0746",271,50
1,"05-498-7751",385,50
1,"05-720-8792",319,50
1,"05-899-1428",281,20
1,"06-068-6793",260,20
1,"06-336-5482",286,35
1,"06-503-5891",296,20
1,"06-611-5454",422,20
1,"06-655-5498",427,40
1,"06-690-2335",258,40
1,"06-731-2162",376,50
1,"06-797-4963",281,50
1,"06-858-5680",305,20
1,"06-955-3428",347,40
1,"07-074-1196",357,50
1,"07-219-8017",403,20
1,"07-337-9889",389,50
1,"07-389-5740",411,20
1,"07-617-6934",330,40
1,"07-679-1199",341,50
1,"07-834-3320",344,20
1,"07-846-4804",253,40
1,"07-858-5487",395,20
1,"07-970-9352",318,50
1,"08-114-3922",421,35
1,"08-196-2703",420,50
1,"08-213-2058",428,20
1,"08-226-5155",269,50
1,"08-396-2704",239,40
1,"08-495-6853",291,20
1,"08-519-5579",355,50
1,"08-573-9997",253,50
1,"08-637-9335",226,50
1,"08-703-1382",398,50
1,"08-725-8156",370,35
1,"08-940-8578",325,50
1,"08-961-3009",261,20
1,"09-101-1740",290,40
1,"09-286-8107",340,20
1,"09-335-7793",376,40
1,"09-536-2626",412,20
1,"09-618-2842",339,40
1,"09-622-7119",237,35
1,"09-712-3630",340,50
1,"10-002-6494",421,50
1,"10-034-7654",421,40
1,"10-137-9759",402,50
1,"10-218-2680",319,20
1,"10-249-7928",416,40
1,"10-255-8579",363,40
1,"10-378-9729",411,50
1,"10-445-0741",318,35
1,"10-555-5971",307,20
1,"10-617-7581",397,20
1,"10-626-8536",435,40
1,"10-768-2443",440,20
1,"10-854-5467",249,20
1,"11-032-9778",311,50
