"purchase_product_id","purchase_order_id","vendor_product_id","quantity_purchased","actual_unit_cost"
1,1458,2123,303,"3.21"
2,1708,2654,500,"12.50"
3,1623,2487,391,"4.29"
4,751,1185,432,"1.07"
5,126,258,380,"2.86"
6,1457,2119,443,"1.25"
7,988,1526,384,"2.00"
8,354,703,399,"2.00"
9,1196,1819,420,"2.40"
10,1619,2562,334,"0.80"
11,1461,2061,320,"1.14"
12,900,1473,360,"1.43"
13,352,815,368,"2.40"
14,214,637,328,"2.86"
15,122,285,414,"4.29"
16,1102,1635,442,"5.60"
17,1618,2441,338,"1.07"
18,1816,2787,308,"6.40"
19,1705,2690,476,"12.50"
20,1469,2068,476,"1.43"
21,1541,2283,303,"1.79"
22,826,1321,358,"9.23"
23,213,3013,471,"1.43"
24,226,506,320,"0.71"
25,1891,2945,346,"9.60"
26,897,1479,498,"1.07"
27,1813,2770,357,"0.64"
28,1545,2227,487,"4.29"
29,1906,2882,442,"4.00"
30,128,262,461,"3.21"
31,112,364,412,"1.25"
32,1548,2267,479,"2.50"
33,890,1402,491,"4.80"
34,825,1299,356,"18.75"
35,1102,1722,396,"6.92"
36,120,354,340,"1.43"
37,1453,2083,361,"3.21"
38,112,381,326,"2.46"
39,120,316,462,"1.79"
40,988,3026,467,"2.14"
41,993,3012,316,"3.57"
42,111,383,391,"1.64"
43,828,1266,499,"9.38"
44,568,1063,322,"2.40"
45,341,860,325,"2.80"
46,900,1456,485,"1.07"
47,892,1409,376,"1.07"
48,214,531,334,"4.29"
49,1549,2225,466,"3.57"
50,349,811,486,"3.20"
51,746,1196,379,"3.21"
52,110,290,353,"2.14"
53,104,320,352,"2.43"
54,655,1158,414,"2.00"
55,1708,2693,305,"7.50"
56,218,638,343,"1.79"
57,1905,2885,344,"3.60"
58,222,589,429,"2.07"
59,129,483,318,"4.62"
60,897,1366,497,"4.80"
61,111,251,409,"1.07"
62,1195,1767,480,"3.12"
63,1549,2286,475,"3.18"
64,464,927,347,"4.80"
65,563,1069,385,"4.80"
66,1453,2185,399,"9.38"
67,1453,2157,462,"15.62"
68,126,268,393,"1.29"
69,349,724,442,"5.60"
70,114,265,449,"2.86"
71,1549,2314,482,"2.14"
72,1096,1682,353,"9.23"
73,1891,2952,377,"3.20"
74,127,318,380,"3.18"
75,104,247,360,"1.43"
76,1371,2025,365,"4.62"
77,105,261,447,"3.21"
78,1627,2398,485,"3.21"
79,103,366,424,"0.86"
80,560,999,335,"2.00"
81,333,857,451,"4.80"
82,111,246,348,"2.14"
83,1897,2993,300,"2.00"
84,118,3034,434,"1.71"
85,1104,1700,486,"4.62"
86,1459,2094,473,"1.43"
87,1624,2388,435,"1.07"
88,1540,2324,493,"1.29"
89,1894,2909,324,"6.40"
90,899,1383,482,"3.20"
91,118,404,418,"7.14"
92,1896,2847,490,"4.00"
93,1619,2571,476,"7.20"
94,894,1368,303,"1.44"
95,1546,2253,465,"2.14"
96,1534,2236,482,"5.00"
97,1622,2411,428,"3.39"
98,9,77,422,"1.43"
99,225,681,388,"1.79"
100,1909,2864,482,"2.56"
101,4,175,335,"4.80"
102,1623,2440,349,"1.07"
103,1618,2586,495,"4.00"
104,1102,1601,413,"3.20"
105,1618,2465,359,"6.79"
106,111,384,390,"1.79"
107,1372,2019,490,"5.38"
108,111,313,357,"1.43"
109,446,958,465,"3.20"
110,829,1317,431,"4.62"
111,1711,2685,376,"12.50"
112,215,532,432,"3.57"
113,111,454,437,"6.15"
114,1541,2357,424,"70.31"
115,1625,2410,385,"4.36"
116,107,329,376,"4.29"
117,1546,2301,496,"2.50"
118,338,3023,430,"2.86"
119,1466,2085,422,"3.21"
120,1536,2285,318,"2.75"
121,1623,2504,381,"3.07"
122,1711,2655,329,"13.12"
123,1538,2197,364,"3.21"
124,660,1134,367,"3.20"
125,1544,2371,410,"3.21"
126,1905,2998,480,"3.36"
127,6,99,397,"1.29"
128,748,1251,348,"2.29"
129,1005,1517,431,"1.84"
130,898,1404,460,"8.00"
131,15,11,408,"1.07"
132,338,728,483,"5.60"
133,756,1225,495,"4.29"
134,1628,2625,478,"2.40"
135,126,474,335,"13.85"
136,334,806,344,"2.00"
137,215,588,346,"2.14"
138,1553,2263,362,"4.29"
139,828,1335,492,"13.85"
140,1903,3001,378,"3.20"
141,1466,2103,422,"1.43"
142,896,1465,410,"1.07"
143,1542,2198,470,"3.21"
144,1538,2379,314,"3.21"
145,219,591,419,"2.50"
146,111,480,445,"6.15"
147,448,880,360,"5.00"
148,1100,1725,403,"4.62"
149,344,812,448,"3.20"
150,1458,2105,363,"2.14"
151,1629,2492,459,"1.79"
152,1102,1582,383,"6.48"
153,1378,1993,426,"13.85"
154,117,274,387,"1.29"
155,1541,2237,426,"2.14"
156,1543,2217,445,"5.00"
157,1011,1505,427,"1.60"
158,1271,1900,315,"3.20"
159,17,115,491,"7.20"
160,1545,2298,405,"3.57"
161,6,142,362,"2.00"
162,1704,2702,493,"19.38"
163,997,1547,473,"5.20"
164,894,1472,465,"4.39"
165,1544,2254,300,"2.14"
166,829,1296,349,"3.12"
167,112,309,303,"3.57"
168,989,1524,476,"1.44"
169,1102,1661,312,"6.40"
170,1547,2299,481,"3.43"
171,1897,2941,311,"2.00"
172,1619,2456,485,"1.96"
173,1195,1748,350,"6.25"
174,1545,2231,338,"2.14"
175,449,888,311,"7.81"
176,1618,2588,418,"2.00"
177,1910,2868,482,"4.00"
178,1704,2696,495,"5.00"
179,1366,1992,366,"7.69"
180,19,154,457,"7.20"
181,890,1373,301,"8.00"
182,1196,1758,441,"13.12"
183,103,467,424,"9.23"
184,1370,2023,461,"6.15"
185,665,1150,448,"2.40"
186,892,1429,432,"3.21"
187,1458,2058,362,"1.43"
188,352,825,486,"3.60"
189,1713,2664,362,"15.62"
190,357,809,392,"2.00"
191,1625,2522,412,"5.60"
192,455,923,498,"3.20"
193,1896,2926,436,"5.60"
194,356,832,352,"4.00"
195,1536,2331,482,"4.29"
196,457,961,369,"2.00"
197,1453,2050,303,"3.39"
198,123,457,319,"6.92"
199,1617,2396,338,"4.29"
200,344,817,323,"2.24"
201,117,393,452,"1.43"
202,223,631,309,"4.29"
203,1707,2650,343,"6.25"
204,1900,2865,455,"2.80"
205,893,3022,432,"1.25"
206,454,939,334,"4.80"
207,1538,2235,341,"4.29"
208,1288,1979,368,"2.00"
209,124,385,321,"36.55"
210,1,3024,452,"2.86"
211,1190,1770,449,"15.94"
212,1628,2415,328,"3.04"
213,232,544,353,"4.21"
214,116,332,450,"4.64"
215,225,640,392,"2.86"
216,748,3017,387,"2.00"
217,18,180,398,"2.40"
218,554,992,492,"1.84"
219,1547,2290,434,"1.43"
220,556,984,491,"1.84"
221,108,405,487,"7.14"
222,12,145,391,"5.76"
223,112,476,324,"13.85"
224,1196,1762,465,"15.62"
225,1457,2182,372,"9.38"
226,3,36,381,"1.07"
227,16,135,482,"5.60"
228,107,334,337,"4.29"
229,663,1131,490,"3.20"
230,468,907,417,"12.50"
231,129,396,360,"1.79"
232,1704,2651,414,"12.50"
233,113,430,319,"2.86"
234,113,412,373,"2.86"
235,900,1493,316,"1.07"
236,828,1272,427,"18.75"
237,114,273,489,"7.14"
238,670,1172,310,"3.20"
239,557,1065,497,"5.60"
240,899,1486,433,"6.79"
241,332,858,424,"4.00"
242,1380,2028,384,"6.92"
243,1193,1871,375,"0.80"
244,1538,2349,442,"2.86"
245,1096,1705,386,"5.77"
246,1812,2799,380,"2.00"
247,126,322,449,"1.79"
248,1713,3033,447,"3.29"
249,1626,2579,474,"7.60"
250,1543,2309,374,"1.79"
251,121,380,347,"2.21"
252,222,622,321,"4.29"
253,1550,2380,481,"3.57"
254,1903,2901,344,"2.40"
255,900,1477,442,"1.07"
256,226,555,475,"2.86"
257,1454,2108,497,"3.21"
258,753,1264,319,"1.43"
259,216,597,454,"3.21"
260,1193,1798,310,"5.60"
261,1285,1929,454,"0.80"
262,996,1548,468,"1.44"
263,14,81,468,"1.07"
264,1809,2837,368,"7.36"
265,232,562,316,"1.07"
266,1622,2403,381,"2.14"
267,467,902,463,"13.12"
268,116,353,465,"3.93"
269,1365,2032,376,"5.38"
270,450,941,463,"4.80"
271,463,914,385,"6.56"
272,1551,2256,362,"2.14"
273,1618,2497,472,"1.79"
274,358,785,435,"1.92"
275,232,646,482,"4.29"
276,449,946,398,"1.44"
277,222,683,388,"1.29"
278,353,693,390,"6.40"
279,830,1347,442,"15.38"
280,1099,1694,471,"8.85"
281,555,978,460,"1.60"
282,1894,2876,311,"3.20"
283,334,844,374,"3.20"
284,1545,2246,429,"3.57"
285,1378,2000,423,"5.38"
286,1097,1562,325,"1.60"
287,1461,2147,375,"4.75"
288,1193,1873,486,"3.20"
289,230,616,492,"3.21"
290,1543,2336,417,"7.14"
291,224,575,335,"7.14"
292,1541,2315,428,"2.79"
293,561,1111,494,"1.40"
294,122,415,384,"1.43"
295,1097,1703,318,"13.85"
296,830,1330,468,"7.69"
297,221,511,462,"2.50"
298,127,355,356,"2.14"
299,121,260,450,"1.79"
300,337,710,366,"2.40"
301,1103,1704,396,"6.92"
302,1547,2203,397,"7.14"
303,120,271,405,"4.29"
304,1545,2327,359,"4.29"
305,896,1425,481,"3.57"
306,224,569,386,"1.79"
307,9,176,319,"7.20"
308,1099,1561,307,"0.80"
309,825,1290,394,"7.50"
310,1543,2317,337,"2.14"
311,121,307,427,"3.93"
312,1463,2121,359,"1.07"
313,1368,2030,487,"15.38"
314,342,821,396,"3.60"
315,890,1463,492,"4.64"
316,670,1135,388,"4.80"
317,1096,1733,416,"5.38"
318,559,3008,409,"3.93"
319,1102,1677,398,"5.60"
320,1909,2991,342,"7.20"
321,103,444,402,"1.75"
322,1099,1618,355,"3.20"
323,340,833,344,"2.00"
324,457,877,392,"12.50"
325,1534,2337,366,"3.93"
326,1538,2247,349,"38.44"
327,227,559,403,"2.86"
328,129,358,499,"1.43"
329,1104,1736,394,"6.15"
330,1465,2093,370,"1.43"
331,227,513,409,"1.79"
332,1,45,493,"1.07"
333,754,1227,320,"1.07"
334,1815,3014,351,"1.14"
335,893,1396,391,"3.20"
336,227,645,329,"4.29"
337,572,1036,412,"2.00"
338,1542,2373,446,"4.36"
339,1545,2226,348,"1.79"
340,122,466,377,"8.85"
341,120,388,469,"3.36"
342,1097,1683,440,"15.38"
343,662,1142,392,"2.40"
344,1619,2624,464,"3.20"
345,1815,2711,384,"7.12"
346,564,1062,316,"2.00"
347,1812,2831,325,"6.40"
348,223,514,354,"2.14"
349,894,1386,315,"2.00"
350,831,1274,496,"15.62"
351,222,542,348,"3.57"
352,129,434,465,"2.50"
353,2,29,301,"3.21"
354,129,397,300,"3.21"
355,656,1123,454,"4.40"
356,1550,2339,436,"2.04"
357,1538,2338,389,"2.14"
358,1617,2529,457,"1.52"
359,1624,2555,491,"3.20"
360,896,1369,400,"5.20"
361,1814,2737,449,"2.00"
362,895,1468,440,"3.57"
363,107,252,354,"3.57"
364,2,8,434,"7.14"
365,1459,2066,416,"1.07"
366,116,263,329,"1.43"
367,1097,1732,384,"11.54"
368,1455,3035,337,"0.86"
369,1705,2657,392,"7.50"
370,16,17,479,"1.79"
371,220,620,442,"1.75"
372,106,3007,388,"2.86"
373,103,333,301,"5.00"
374,1456,2173,402,"5.31"
375,1704,2678,444,"5.00"
376,1189,1778,328,"5.00"
377,573,1033,470,"4.00"
378,10,34,302,"7.14"
379,104,431,447,"3.21"
380,1543,2222,336,"2.86"
381,1103,1639,412,"1.40"
382,354,706,374,"5.60"
383,127,282,417,"1.43"
384,1196,1875,336,"2.48"
385,454,938,388,"4.00"
386,226,494,300,"2.50"
387,218,659,316,"4.43"
388,1104,1692,480,"5.77"
389,670,1145,429,"2.80"
390,1460,2042,349,"3.39"
391,1379,2005,497,"6.15"
392,1547,2369,368,"3.21"
393,1190,1807,330,"2.00"
394,1618,2393,466,"1.07"
395,1536,2333,491,"3.57"
396,342,714,459,"4.80"
397,12,93,431,"1.07"
398,1377,2008,309,"6.92"
399,217,502,310,"3.21"
400,898,1403,318,"5.20"
401,105,409,452,"1.50"
402,664,1126,411,"3.20"
403,1894,2967,492,"4.00"
404,331,709,394,"4.80"
405,452,900,410,"6.25"
406,1103,1712,445,"5.15"
407,331,775,376,"5.60"
408,1812,2819,408,"7.20"
409,1893,2870,499,"4.80"
410,564,1047,365,"4.80"
411,662,1165,311,"2.80"
412,232,652,384,"2.14"
413,1534,2350,383,"4.29"
414,1096,1566,452,"1.40"
415,127,413,499,"2.14"
416,1907,2924,482,"0.80"
417,215,673,391,"1.43"
418,1283,3032,498,"10.94"
419,357,759,306,"6.40"
420,1814,2745,465,"7.20"
421,1815,2712,491,"2.32"
422,1195,1763,306,"3.12"
423,1623,2417,401,"1.07"
424,826,1310,328,"9.69"
425,109,461,408,"6.92"
426,444,886,332,"9.38"
427,1380,2031,483,"7.69"
428,1540,2330,313,"1.71"
429,1814,2757,472,"2.00"
430,1624,2419,483,"1.07"
431,554,1091,496,"9.44"
432,827,1326,418,"5.77"
433,747,1233,402,"3.21"
434,667,1155,342,"2.80"
435,899,1471,376,"1.43"
436,1903,2917,400,"1.96"
437,1621,2546,484,"3.20"
438,1380,2034,499,"13.85"
439,1460,2057,363,"1.79"
440,1096,1688,417,"5.38"
441,1709,2656,328,"12.50"
442,228,600,307,"1.79"
443,6,6,423,"1.43"
444,214,603,300,"1.79"
445,126,284,332,"2.86"
446,2,184,302,"0.80"
447,124,378,398,"2.86"
448,1462,2133,315,"3.57"
449,127,341,354,"4.29"
450,1618,2472,468,"1.07"
451,1552,2302,368,"2.14"
452,1536,2287,420,"3.93"
453,114,338,406,"2.14"
454,1379,2007,455,"7.69"
455,1098,1612,440,"1.36"
456,1623,2583,337,"3.20"
457,1283,1965,483,"0.64"
458,1905,2860,392,"4.00"
459,13,220,337,"4.80"
460,895,1387,474,"1.60"
461,569,1077,465,"3.28"
462,1621,2563,364,"3.84"
463,557,972,350,"2.00"
464,1104,1695,371,"11.54"
465,1369,2011,433,"5.77"
466,1098,1616,469,"7.20"
467,1196,1759,322,"5.00"
468,1544,2289,464,"1.79"
469,660,1143,479,"4.00"
470,573,1079,310,"1.92"
471,346,830,492,"4.40"
472,1893,2878,397,"3.20"
473,1193,1825,438,"1.60"
474,830,1311,499,"15.81"
475,466,928,383,"8.00"
476,1616,2511,396,"2.00"
477,1624,2496,419,"3.21"
478,223,641,458,"1.79"
479,758,1230,342,"6.79"
480,107,257,357,"2.14"
481,346,835,470,"2.40"
482,217,3030,335,"1.43"
483,655,1129,360,"3.36"
484,1287,1898,320,"7.36"
485,233,648,326,"3.14"
486,828,1295,441,"15.62"
487,227,617,433,"2.86"
488,1552,2311,455,"2.86"
489,214,3029,408,"1.04"
490,221,601,476,"2.86"
491,1704,2682,397,"12.50"
492,1622,2636,315,"0.80"
493,1006,1538,446,"2.00"
494,223,574,417,"2.14"
495,9,157,464,"1.40"
496,890,1393,379,"5.20"
497,1100,1709,415,"7.69"
498,453,962,329,"2.00"
499,1537,2212,451,"3.93"
500,1902,2844,310,"3.20"
501,562,1058,361,"6.40"
502,113,419,423,"0.71"
503,1904,2856,389,"4.00"
504,1908,2894,345,"3.20"
505,1,163,354,"5.60"
506,1459,2075,367,"1.43"
507,232,635,381,"2.50"
508,19,25,469,"1.43"
509,899,1394,500,"5.20"
510,1282,1953,352,"1.96"
511,1705,2660,380,"9.69"
512,448,957,386,"3.20"
513,117,306,453,"2.14"
514,1,68,341,"6.79"
515,895,1391,303,"1.84"
516,467,933,360,"1.84"
517,1905,2927,326,"2.40"
518,1809,2793,471,"1.92"
519,226,670,361,"1.79"
520,831,1298,392,"7.50"
521,560,1019,500,"0.72"
522,107,301,441,"0.71"
