"refund_id","original_tran_id","refund_time","employee_id","reason","detailed_id","quantity","amount"
1,11936,"2025-07-23 00:00:00",40,"Wrong item",32162,"1.000","4.00"
2,49076,"2025-07-13 00:00:00",18,"Changed mind",132124,"2.000","30.00"
3,16731,"2025-02-23 00:00:00",47,"Changed mind",45009,"1.000","4.50"
4,3080,"2025-06-08 00:00:00",46,"Defective",8220,"1.000","4.74"
5,11430,"2025-01-19 00:00:00",40,"Defective",30830,"1.000","4.00"
6,5637,"2025-03-30 00:00:00",24,"Changed mind",15128,"2.000","6.00"
7,35581,"2025-08-14 00:00:00",47,"Changed mind",95754,"1.000","2.75"
8,7014,"2025-05-06 00:00:00",46,"Changed mind",18897,"1.000","2.50"
9,45068,"2025-08-29 00:00:00",47,"Changed mind",121299,"5.000","100.00"
10,8247,"2025-01-18 00:00:00",18,"Changed mind",22215,"1.000","1.00"
11,4866,"2025-01-29 00:00:00",14,"Quality/Expired",13066,"1.000","20.00"
12,42500,"2025-04-04 00:00:00",7,"Defective",114403,"4.000","11.20"
13,1003,"2025-07-22 00:00:00",18,"Wrong item",2676,"1.000","3.00"
14,21018,"2025-04-14 00:00:00",28,"Quality/Expired",56460,"4.000","10.00"
15,21804,"2025-02-01 00:00:00",24,"Changed mind",58570,"2.000","3.00"
16,5135,"2025-06-11 00:00:00",24,"Defective",13788,"4.000","46.40"
17,19988,"2025-03-07 00:00:00",14,"Changed mind",53760,"2.000","4.20"
18,30142,"2025-07-24 00:00:00",18,"Wrong item",81017,"1.000","25.25"
19,11022,"2025-07-12 00:00:00",3,"Quality/Expired",29688,"1.000","8.00"
20,21041,"2025-01-19 00:00:00",24,"Changed mind",56537,"1.000","1.20"
21,8862,"2025-05-19 00:00:00",38,"Quality/Expired",23872,"3.000","93.00"
22,835,"2025-04-04 00:00:00",38,"Quality/Expired",2221,"1.000","4.35"
23,43518,"2025-07-22 00:00:00",24,"Changed mind",117125,"2.000","6.00"
24,5789,"2025-01-09 00:00:00",40,"Defective",15541,"1.000","1.83"
25,34994,"2025-02-09 00:00:00",7,"Changed mind",94191,"1.000","9.00"
26,27216,"2025-01-31 00:00:00",24,"Defective",73152,"1.000","20.00"
27,365,"2025-07-04 00:00:00",38,"Quality/Expired",984,"1.000","4.00"
28,34561,"2025-06-03 00:00:00",24,"Other",92992,"2.000","8.00"
29,26127,"2025-06-23 00:00:00",18,"Quality/Expired",70251,"2.000","21.85"
30,42764,"2025-08-16 00:00:00",40,"Changed mind",115109,"4.000","24.00"
31,15272,"2025-02-25 00:00:00",28,"Changed mind",41056,"1.000","4.00"
32,37366,"2025-03-23 00:00:00",7,"Quality/Expired",100568,"2.000","1.65"
33,12371,"2025-04-27 00:00:00",3,"Wrong item",33323,"1.000","10.87"
34,7559,"2025-08-03 00:00:00",7,"Quality/Expired",20330,"2.000","9.00"
35,49503,"2025-07-21 00:00:00",7,"Quality/Expired",133295,"1.000","5.00"
36,40494,"2025-06-18 00:00:00",46,"Defective",109013,"3.000","7.50"
37,35510,"2025-06-12 00:00:00",40,"Other",95558,"1.000","4.50"
38,47244,"2025-08-17 00:00:00",46,"Wrong item",127218,"1.000","1.95"
39,23671,"2025-04-20 00:00:00",28,"Quality/Expired",63611,"2.000","3.00"
40,26876,"2025-08-18 00:00:00",18,"Wrong item",72243,"5.000","12.50"
41,3708,"2025-06-15 00:00:00",40,"Wrong item",9942,"5.000","21.75"
42,9323,"2025-07-30 00:00:00",14,"Defective",25141,"1.000","0.78"
43,18029,"2025-01-16 00:00:00",40,"Changed mind",48503,"1.000","12.00"
44,44127,"2025-05-18 00:00:00",28,"Changed mind",118786,"1.000","2.00"
45,32177,"2025-06-15 00:00:00",18,"Other",86524,"1.000","1.75"
46,6153,"2025-06-04 00:00:00",3,"Wrong item",16530,"1.000","3.20"
47,43206,"2025-07-01 00:00:00",40,"Wrong item",116301,"3.000","27.60"
48,49111,"2025-05-21 00:00:00",28,"Defective",132224,"1.000","6.00"
