"transaction_id","store_id","employee_id","tran_time","payment_method_id"
1,1,46,"2025-02-07 00:00:00",2
2,1,24,"2025-02-14 00:00:00",1
3,3,14,"2025-03-31 00:00:00",4
4,2,3,"2025-01-29 00:00:00",3
5,5,3,"2025-07-08 00:00:00",3
6,3,24,"2025-06-18 00:00:00",1
7,4,24,"2025-02-28 00:00:00",3
8,4,18,"2025-02-22 00:00:00",3
9,2,40,"2025-03-30 00:00:00",2
10,1,14,"2025-02-23 00:00:00",2
11,4,14,"2025-03-12 00:00:00",3
12,4,46,"2025-02-11 00:00:00",2
13,1,40,"2025-02-16 00:00:00",2
14,5,14,"2025-02-07 00:00:00",4
15,3,28,"2025-02-11 00:00:00",2
16,1,7,"2025-01-07 00:00:00",3
17,3,46,"2025-07-24 00:00:00",1
18,4,28,"2025-04-10 00:00:00",4
19,2,18,"2025-07-13 00:00:00",1
20,5,40,"2025-07-03 00:00:00",1
21,5,18,"2025-05-10 00:00:00",4
22,5,24,"2025-06-01 00:00:00",1
23,3,24,"2025-03-29 00:00:00",3
24,5,7,"2025-05-04 00:00:00",4
25,3,38,"2025-07-28 00:00:00",3
26,3,18,"2025-06-16 00:00:00",4
27,3,24,"2025-07-30 00:00:00",1
28,2,3,"2025-07-16 00:00:00",1
29,2,38,"2025-05-30 00:00:00",2
30,3,24,"2025-06-23 00:00:00",1
31,4,18,"2025-02-12 00:00:00",3
32,3,18,"2025-06-30 00:00:00",5
33,2,28,"2025-01-13 00:00:00",4
34,4,3,"2025-02-26 00:00:00",1
35,3,18,"2025-02-25 00:00:00",2
36,5,46,"2025-07-06 00:00:00",2
37,5,28,"2025-04-27 00:00:00",1
38,5,28,"2025-05-02 00:00:00",4
39,1,47,"2025-01-31 00:00:00",1
40,5,14,"2025-01-12 00:00:00",1
41,4,14,"2025-01-27 00:00:00",4
42,5,7,"2025-02-08 00:00:00",2
43,2,24,"2025-05-03 00:00:00",4
44,3,14,"2025-04-24 00:00:00",2
45,3,7,"2025-05-02 00:00:00",2
46,2,3,"2025-03-05 00:00:00",3
47,4,28,"2025-02-05 00:00:00",4
48,2,7,"2025-02-01 00:00:00",4
49,3,28,"2025-07-07 00:00:00",2
50,5,38,"2025-04-20 00:00:00",3
51,4,3,"2025-06-28 00:00:00",2
52,3,28,"2025-06-05 00:00:00",5
53,3,3,"2025-04-17 00:00:00",5
54,4,38,"2025-04-16 00:00:00",1
55,1,38,"2025-03-10 00:00:00",1
56,1,28,"2025-07-01 00:00:00",5
57,3,18,"2025-01-13 00:00:00",1
58,3,3,"2025-03-11 00:00:00",4
59,2,7,"2025-01-07 00:00:00",2
60,3,18,"2025-04-14 00:00:00",2
61,2,24,"2025-02-26 00:00:00",4
62,3,7,"2025-07-05 00:00:00",2
63,2,28,"2025-01-23 00:00:00",4
64,4,24,"2025-06-22 00:00:00",4
65,3,24,"2025-07-17 00:00:00",1
66,1,14,"2025-01-06 00:00:00",1
67,1,7,"2025-04-01 00:00:00",3
68,5,38,"2025-02-10 00:00:00",3
69,1,46,"2025-07-08 00:00:00",4
70,5,18,"2025-05-10 00:00:00",2
71,1,40,"2025-04-08 00:00:00",3
72,1,40,"2025-02-24 00:00:00",3
73,2,7,"2025-05-28 00:00:00",2
74,5,40,"2025-01-19 00:00:00",4
75,4,18,"2025-07-11 00:00:00",5
76,5,40,"2025-05-30 00:00:00",3
77,5,24,"2025-03-19 00:00:00",2
78,2,7,"2025-05-29 00:00:00",2
79,3,46,"2025-04-11 00:00:00",1
80,2,3,"2025-07-01 00:00:00",2
81,1,40,"2025-01-18 00:00:00",3
82,5,7,"2025-04-17 00:00:00",4
83,4,24,"2025-05-04 00:00:00",1
84,3,3,"2025-03-17 00:00:00",3
85,3,7,"2025-05-23 00:00:00",2
86,3,46,"2025-02-05 00:00:00",3
87,4,47,"2025-02-07 00:00:00",3
88,3,38,"2025-05-25 00:00:00",2
89,4,3,"2025-07-06 00:00:00",3
90,1,14,"2025-05-05 00:00:00",4
91,1,28,"2025-07-20 00:00:00",4
92,3,7,"2025-03-14 00:00:00",1
93,4,40,"2025-07-19 00:00:00",4
94,2,28,"2025-01-04 00:00:00",2
95,4,47,"2025-05-21 00:00:00",4
96,4,38,"2025-06-11 00:00:00",4
97,4,7,"2025-03-31 00:00:00",4
98,2,24,"2025-05-07 00:00:00",3
99,1,18,"2025-05-10 00:00:00",4
100,1,47,"2025-06-04 00:00:00",4
101,5,18,"2025-07-16 00:00:00",4
102,2,47,"2025-01-11 00:00:00",4
103,5,38,"2025-04-29 00:00:00",4
104,5,18,"2025-02-27 00:00:00",3
105,3,24,"2025-01-31 00:00:00",2
106,3,40,"2025-03-20 00:00:00",3
107,1,18,"2025-06-28 00:00:00",4
108,4,14,"2025-02-19 00:00:00",3
109,1,38,"2025-03-29 00:00:00",5
110,4,46,"2025-06-08 00:00:00",4
111,5,7,"2025-07-02 00:00:00",4
112,4,14,"2025-03-22 00:00:00",3
113,3,24,"2025-03-10 00:00:00",4
114,5,3,"2025-04-24 00:00:00",1
115,2,3,"2025-02-22 00:00:00",2
