"vendor_id","vendor_name","vendor_phone","vendor_email"
1,"Smith-Grant","001-385-219-1524","huffmanbeth@knox.com"
2,"Matthews, Howard and King","432-545-2314","leonbeth@montes.com"
3,"Edwards Ltd","(430)278-0625","eugene94@campbell.com"
4,"Yu, Scott and Gregory","921.761.6940x21596","nwilson@willis.org"
5,"Gonzalez-Price","(528)649-5534x652","renee06@mccann.net"
6,"Harrison-Anderson","899.407.8922","juliemorton@wilson.com"
7,"Jackson, Chapman and Knight","509.378.7778","justin90@williams-ritter.com"
8,"Campbell, White and Gutierrez","917-756-5040x98179","jonathanwilliams@young.com"
9,"Griffin PLC","001-491-526-3927x63154","johnsonthomas@porter.com"
10,"Coffey, Hernandez and Johnson","001-825-786-4978x1817","andersonjoshua@galvan.com"
11,"Williamson, Allen and Barker","+1-604-950-8571x95916","umorgan@watkins.com"
12,"Smith-Perez","896-506-4358x790","oandrews@gentry-schmidt.net"
13,"Hartman, Miller and White","001-707-922-3262x324","lopeznancy@davis.net"
14,"Bradshaw, Ryan and Oneal","+1-726-716-0470x90356","melindacherry@king.biz"
15,"Dennis-Peters","969.645.7155","bill96@lee.biz"
16,"Stephens, Alexander and Kennedy","001-587-750-0560","dennis93@griffin.com"
17,"Burgess-Orozco","001-289-754-0630x03502","john18@riddle-dawson.com"
18,"Morton Group","572.610.7785","jbrown@roberts-peters.com"
19,"Moore LLC","2949086889","edavid@vaughn-castillo.com"
20,"Crawford and Sons","+1-779-979-5893x29335","mitchellsharon@rivera.net"
21,"Duran, Bass and Patton","878-498-5371x49031","imendez@hanson.net"
